,energy
282,-2.1515521240499673
283,-2.143358838264143
284,-2.1519934178681175
285,-2.148879661738308
286,-2.150717577623932
287,-2.1552973832741054
288,-2.1466702744911488
289,-2.15395573947542
290,-2.1498133925894107
291,-2.154557889692
292,-2.139266552047553
293,-2.14523203716117
294,-2.1442828694498504
295,-2.1570882636328705
296,-2.1514843844483846
297,-2.1473044779388117
298,-2.1480257356952452
299,-2.1576222486579484
300,-2.1545400942572788
301,-2.150347850156368
302,-2.144183279853065
303,-2.1556628580345047
304,-2.153749106423198
305,-2.1521225862922724
306,-2.151212492399289
307,-2.1471898272953127
308,-2.1496857495129515
309,-2.1503511424236
310,-2.153665749869052
311,-2.1463271889643223
312,-2.142600412536558
313,-2.1534489762907176
314,-2.1444494670940832
315,-2.1483750148517644
316,-2.1386341972340057
317,-2.1546194235417975
318,-2.1583500115530803
319,-2.141956886522736
320,-2.1568274562302414
321,-2.1497707393835155
322,-2.1476496271374987
323,-2.1499636140548994
324,-2.147154874053737
325,-2.147890085215561
326,-2.1490863328711707
327,-2.150176264263339
328,-2.150181194784764
329,-2.1458982493496217
330,-2.150520653414272
331,-2.153034830698422
332,-2.1498188807346548
333,-2.1450627020269613
334,-2.1420275079265902
335,-2.149127366585666
336,-2.1486150965263158
337,-2.1431941330250663
338,-2.1520130609899804
339,-2.1493439403447336
340,-2.1488111209941696
341,-2.152589248925003
342,-2.1544290131071624
343,-2.1447014973234926
344,-2.1453093242817967
345,-2.14372255870202
346,-2.1457027116977296
347,-2.150903760792567
348,-2.1456844861244346
349,-2.146527060242195
350,-2.14227169877081
351,-2.147034917842104
352,-2.1412820490335256
353,-2.147768047554311
354,-2.1479138318533684
355,-2.1466164547296382
356,-2.157170301715047
357,-2.1556763452199625
358,-2.1608348988475394
359,-2.150161042156284
360,-2.152984075743
361,-2.152549369632496
362,-2.158323429771177
363,-2.1416511492984536
364,-2.144941341812716
365,-2.160650267047405
366,-2.14165173003516
367,-2.146356605978526
368,-2.1532131665563057
369,-2.1460371036714476
370,-2.1477976255861
371,-2.1603572790570054
372,-2.157029610663605
373,-2.1482767391837796
374,-2.1513592769091563
375,-2.140534523795972
376,-2.1452324366899007
377,-2.1477930376167547
378,-2.15332946410432
379,-2.1482430678167006
380,-2.1500432622623507
381,-2.1479305817133847
382,-2.1484631890173653
383,-2.146633696562419
384,-2.152813188136733
385,-2.152343561832752
386,-2.1508674810397093
387,-2.143652884435941
388,-2.1494638248051157
389,-2.14580661340048
390,-2.155574663038119
391,-2.1424093935617097
392,-2.148498696480078
393,-2.153146003723738
394,-2.1530034128560915
395,-2.1427019139234376
396,-2.1587049287692133
397,-2.144933223196043
398,-2.1415767466803306
399,-2.151672827653452
400,-2.149355925225037
401,-2.1602043032178515
402,-2.149209434353438
403,-2.1476695726152752
404,-2.1545285829899696
405,-2.1544995966307794
406,-2.152198091769244
407,-2.1492443991679444
408,-2.1473431173917144
409,-2.1535959975306294
410,-2.155661042244852
411,-2.150220140317254
412,-2.1498492952805246
413,-2.1435464771280865
414,-2.1525656918158442
415,-2.152147238929869
416,-2.1581200482881457
417,-2.154803276583361
418,-2.1502801932283693
419,-2.1500986804329525
420,-2.15205752137267
